"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Treadmill Running","Run","","","","2020-02-05","","8003.9501953125","","","","","1.00043189525604","2.22199988365173","","77","","152","188","","","0.66659996509552","49.25","3","3","3","4","2","2","42","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2020-02-05","","0","","","","","0.502825558185577","0","","","","68","93","","","0.525409597836883","15.11","30","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-06","","15.1999998092651","","","","","0.0336611121892929","0.125","","","","54","68","","","0.050436081950284","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-02-06","","1692.31005859375","","","","","0.375843614339828","1.25100004673004","","40","","99","111","","","0.403110501995948","6.6","23","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2020-02-07","","19.8899993896484","","","","","0.0334002785384655","0.165000006556511","","2","","60","77","","","0.028443264968505","1.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2020-02-07","","1778.18005371094","","","","","0.484754174947739","1.01900005340576","","32","","100","115","","","0.34994052343927","6.46","29","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-02-07","","4005.919921875","","","","","0.502797484397888","2.21300005912781","","77","","133","158","","","0.663900017738342","24.13","2","5","4","9","3","4","4","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2020-02-07","","25216.7109375","158","247","570.341","","1.00448834896088","6.97300004959106","","54","","143","173","","","0.705193717667696","49.48","5","2","3","6","4","5","35","","","","16","15","21","8","0","0","","","","","",""
"Running","Run","","","","2020-02-08","","15.2799997329712","","","","","0.0336291678249836","0.126000002026558","","","","56","64","","","0.0454180930553744","0.01","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Yoga","Other","","","","2020-02-08","","0","","","","","0.501463890075684","0","","","","71","94","","","0.526850820992311","15.15","30","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Treadmill Running","Run","","","","2020-02-08","","4008.19995117188","","","","","0.502810537815094","2.21399998664856","","77","","133","172","","","0.664199995994568","24.15","6","1","3","3","2","3","13","","","","","","","","","","","","","","",""
